lam,r,g,b,a,c,l
432,0.000E+00,0.000E+00,3.042E-01,6.298E-03,4.968E-04,1.662E-02
433,0.000E+00,0.000E+00,3.477E-01,6.936E-03,6.314E-04,1.762E-02
434,0.000E+00,0.000E+00,3.944E-01,7.595E-03,7.908E-04,1.861E-02
435,0.000E+00,0.000E+00,4.439E-01,8.270E-03,9.767E-04,1.958E-02
436,0.000E+00,0.000E+00,4.958E-01,8.955E-03,1.191E-03,2.052E-02
437,0.000E+00,0.000E+00,5.513E-01,9.627E-03,1.414E-03,2.139E-02
438,0.000E+00,0.000E+00,6.078E-01,1.030E-02,1.676E-03,2.223E-02
439,0.000E+00,0.000E+00,6.644E-01,1.098E-02,1.991E-03,2.302E-02
440,0.000E+00,0.000E+00,7.201E-01,1.166E-02,2.367E-03,2.378E-02
441,0.000E+00,0.000E+00,7.745E-01,1.236E-02,2.822E-03,2.453E-02
442,0.000E+00,0.000E+00,8.258E-01,1.307E-02,3.358E-03,2.523E-02
443,0.000E+00,0.000E+00,8.727E-01,1.375E-02,3.983E-03,2.587E-02
444,0.000E+00,0.000E+00,9.140E-01,1.442E-02,4.705E-03,2.644E-02
445,0.000E+00,0.000E+00,9.472E-01,1.505E-02,5.491E-03,2.693E-02
446,0.000E+00,0.000E+00,9.726E-01,1.564E-02,6.400E-03,2.734E-02
447,0.000E+00,0.000E+00,9.897E-01,1.620E-02,7.464E-03,2.765E-02
448,0.000E+00,0.000E+00,9.978E-01,1.671E-02,8.706E-03,2.785E-02
449,0.000E+00,0.000E+00,9.935E-01,1.718E-02,1.014E-02,2.794E-02
450,0.000E+00,0.000E+00,9.795E-01,1.760E-02,1.181E-02,2.791E-02
451,0.000E+00,0.000E+00,9.569E-01,1.795E-02,1.374E-02,2.776E-02
452,0.000E+00,0.000E+00,9.262E-01,1.821E-02,1.596E-02,2.748E-02
453,0.000E+00,7.310E-06,8.859E-01,1.837E-02,1.847E-02,2.703E-02
454,0.000E+00,6.545E-05,8.391E-01,1.842E-02,2.134E-02,2.645E-02
455,0.000E+00,1.313E-04,7.877E-01,1.839E-02,2.462E-02,2.576E-02
456,0.000E+00,2.035E-04,7.330E-01,1.825E-02,2.835E-02,2.497E-02
457,0.000E+00,2.736E-04,6.777E-01,1.800E-02,3.254E-02,2.408E-02
458,0.000E+00,3.479E-04,6.220E-01,1.766E-02,3.727E-02,2.312E-02
459,0.000E+00,4.301E-04,5.670E-01,1.723E-02,4.262E-02,2.212E-02
460,0.000E+00,5.222E-04,5.136E-01,1.672E-02,4.863E-02,2.111E-02
461,0.000E+00,6.287E-04,4.648E-01,1.612E-02,5.534E-02,2.012E-02
462,0.000E+00,7.486E-04,4.198E-01,1.547E-02,6.284E-02,1.917E-02
